title,locations
heywood-a-challenge-for-beauty,"['Germany', 'Iland', 'Alps', 'France', 'Mantuan', 'London', 'Europe', 'Flushing', 'Middleborough', 'Italy', 'Rome', 'Greece', 'England', 'Asia', 'Troy', 'Spaine']"
heywood-a-woman-killed-with-kindness,"['Germany', 'France', 'Acton', 'Italy', 'England']"
heywood-brome-the-late-lancashire-witches,"['Lancaster', 'Paris', 'London', 'England', 'Lancashire', 'Troy']"
heywood-edward-the-fourth-1,[]
heywood-how-a-man-may-choose-a-good-wife-from-a-bad,"['London', 'Europe']"
heywood-if-you-know-not-me-you-know-nobody-1,[]
heywood-if-you-know-not-me-you-know-nobody-2,"['Venice', 'France', 'London', 'Rome', 'Spaine', 'Bristow', 'South', 'England', 'Fraunce']"
heywood-love-s-mistress,"['Arcadia', 'Paris', 'Troy', 'Delphos']"
heywood-rowley-fortune-by-land-and-sea,"['Kingdom', 'England', 'Spain', 'France', 'South', 'Europe']"
heywood-the-brazen-age,"['Thessaly', 'Paphos', 'Thebes', 'Aegypt', 'Greece', 'Asia', 'Thrace', 'Troy', 'Spaine', 'Tempe']"
heywood-the-english-traveller,"['Rome', 'Greece', 'England', 'Turkey', 'France', 'London', 'Italy', 'Paris', 'Ierusalem', 'Palestine']"
heywood-the-fair-maid-of-the-exchange,[]
heywood-the-fair-maid-of-the-west-1,"['Islands', 'Morocco', 'France', 'London', 'Barbary', 'Cornwall', 'England']"
heywood-the-fair-maid-of-the-west-2,"['Mantua', 'Florence', 'Italy', 'Greece', 'England', 'Troy']"
heywood-the-four-prentices-of-london,"['Venice', 'France', 'London', 'Europe', 'Italy', 'Asia', 'Troy', 'Alpes', 'Scotland', 'Ierusalem', 'Ireland', 'Wales', 'England', 'Turkey']"
heywood-the-golden-age,"['Italy', 'Athens', 'Greece', 'Europa', 'Troy', 'Corsicke', 'Sicily', 'Delphos']"
heywood-the-iron-age-1,"['Sparta', 'Greece', 'Asia', 'Troy', 'Paris', 'Delphos']"
heywood-the-iron-age-2,"['Europe', 'Sparta', 'Greece', 'Asia', 'Europa', 'Troy', 'Paris', 'South']"
heywood-the-rape-of-lucrece,"['States', 'Rome', 'Greece', 'Troy', 'Delphos']"
heywood-the-royal-king-and-the-loyal-subject,"['London', 'Europe', 'Wales']"
heywood-the-wise-woman-of-hogsdon,"['France', 'London', 'Europe', 'Finsbury', 'Spaine', 'Westminster', 'St. Georges']"
holiday-technogamia,[]
hughes-the-misfortunes-of-arthur,"['Paris', 'Europe', 'Rome', 'Kingdom', 'Troy']"
jones-adrasta,[]
jonson-bartholomew-fair,"['Virginia', 'Finsbury', 'Rome', 'Columbus', 'Madame', 'Arcadia', 'Turkey', 'France', 'States', 'London', 'Scotland', 'Ierusalem', 'Ireland']"
jonson-catiline-his-conspiracy,"['Thebes', 'Rome', 'Athens', 'Asia', 'Spaine', 'Alpes']"
jonson-chloridia,[]
jonson-cynthia-s-revels,[]
jonson-epicoene-or-the-silent-woman-A04645,"['Iland', 'Virginia', 'Europe', 'Salisbury', 'Madame', 'England', 'States', 'London', 'Ireland', 'South']"
jonson-every-man-in-his-humour,"['Venice', 'London', 'Europe', 'Naples', 'Italy', 'Toledo', 'Poland', 'Vienna']"
jonson-every-man-out-of-his-humour,[]
jonson-hymenaei,[]
jonson-love-s-triumph-through-callipolis,[]
jonson-neptune-s-triumph-for-the-return-of-albion,"['Iland', 'Island']"
jonson-poetaster,"['Parnassus', 'Aegypt', 'Italy', 'Rome']"
jonson-sejanus-his-fall,"['Iland', 'Rome', 'Rhodes']"
jonson-the-alchemist,"['France', 'States', 'London', 'Europe', 'Douer', 'Rome', 'Athens', 'Scotland', 'Holland', 'Egypt', 'Madrid', 'England', 'Amsterdam']"
jonson-the-case-is-altered,"['Venice', 'Verona', 'France', 'Ierusalem', 'Europe', 'Italy']"
jonson-the-characters-of-two-royal-masques,['Iland']
jonson-the-devil-is-an-ass,"['France', 'London', 'Finsbury', 'America', 'Italy', 'Spaine', 'England', 'St. Georges']"
jonson-the-entertainment-of-the-queen-and-prince-at-althorp,"['Sparta', 'Lorraine', 'France', 'Europe']"
jonson-the-fortunate-isles-and-their-union,"['Orient', 'Troy']"
jonson-the-new-inn,"['France', 'States', 'Europe', 'Rome', 'Sparta', 'Lancashire', 'Thrace', 'Troy', 'Spaine', 'Ireland', 'Madrid', 'England']"
jonson-the-staple-of-news,[]
jonson-volpone,"['Venice', 'France', 'London', 'Europe', 'Italy', 'Greece', 'England', 'Asia', 'Troy']"
killigrew-claricilla,"['Messina', 'States', 'Kingdom', 'Sicily', 'Rhodes']"
killigrew-the-conspiracy,[]
killigrew-the-parson-s-wedding,"['Alps', 'Kingdom', 'England', 'France', 'London', 'Italy', 'Paris', 'Westminster']"
killigrew-the-princess,[]
killigrew-the-prisoners,"['Island', 'Kingdom', 'Sardinia']"
kirke-the-seven-champions-of-christendom,"['Iland', 'France', 'City', 'London', 'Italy', 'Rome', 'Asia', 'Scotland', 'Ireland', 'Island', 'Almaine', 'Wales', 'Persia', 'Arabia', 'England', 'Spain', 'Orient', 'Normandy']"
knevet-rhodon-and-iris,"['Thessaly', 'Greece', 'Troy']"
kyd-soliman-and-perseda,"['Scotland', 'Iland', 'France', 'Ireland', 'Peleon', 'South', 'Persia', 'Asia', 'Rhodes', 'Troy', 'Turkey']"
kyd-the-spanish-tragedy,"['Paris', 'Lisbon', 'England', 'Spaine', 'Corsicke']"
kynaston-corona-minervae,[]
lodge-the-wounds-of-civil-war,[]
lower-the-phoenix-in-her-flames,"['Egypt', 'Arabia', 'Persia', 'Kingdom', 'Euphrates', 'Austria']"
lupton-all-for-money,[]
lyly-campaspe,"['Persia', 'Athens', 'Europa', 'Thebes']"
lyly-endymion,"['Thessaly', 'Alpes', 'Egypt', 'Arabia', 'Athens', 'Greece']"
lyly-gallathea,"['Arabia', 'Capricornus']"
lyly-love-s-metamorphosis,[]
lyly-midas,"['Iland', 'Thebes', 'Greece', 'Delphos']"
lyly-mother-bombie,[]
lyly-sappho-and-phao,"['Athens', 'Troy']"
lyly-the-woman-in-the-moon,['Europa']
machin-barkstead-marston-the-insatiate-countess,"['Venice', 'France', 'Italy', 'Europa', 'Troy', 'Alpes']"
markham-sampson-herod-and-antipater,"['Rome', 'Greece', 'Asia', 'Rhodes', 'Israel', 'Ierusalem', 'Bethlem', 'Arabia']"
marlowe-dr-faustus,"['Germany', 'Venice', 'Padua', 'Paris', 'Emden', 'Thebes', 'Europe', 'Affrica', 'Rhine', 'America', 'Naples', 'Rome', 'Greece', 'Troy']"
marlowe-edward-the-second,[]
marlowe-nashe-dido-queen-of-carthage,"['Thessaly', 'Paris', 'Egypt', 'Europe', 'Italy', 'Athens', 'Greece', 'Asia', 'Troy']"
marlowe-tamburlaine-1,[]
marlowe-the-jew-of-malta,"['Venice', 'Iland', 'Florence', 'France', 'London', 'Italy', 'Greece', 'Rhodes', 'Alpes', 'Israel', 'Padua', 'Ierusalem', 'Calabria', 'Egypt', 'Cyprus', 'Arabia', 'Sicily', 'Mediterranean', 'Malta', 'Turkey']"
marlowe-the-massacre-at-paris,"['Germany', 'Paris', 'France', 'America', 'Rome', 'England', 'Poland']"
marmion-a-fine-companion,"['Thessaly', 'Europe', 'Greece', 'Paris', 'Parnassus', 'Algate']"
marmion-holland-s-leaguer,"['Iland', 'States', 'Sweden', 'Holland', 'Padua', 'South', 'England']"
marston-antonio-and-mellida,[]
marston-antonio-s-revenge,[]
marston-histriomastix,"['Europe', 'Italy', 'Douer']"
marston-jack-drum-s-entertainment,"['Scotland', 'Ireland', 'London', 'Athens', 'Greece', 'Orient']"
marston-parasitaster,"['Germany', 'Island', 'Egypt', 'Cyprus', 'Europe', 'England', 'Ferrara', 'Normandy', 'Troy', 'Delphos', 'Messalina']"
marston-the-dutch-courtesan,[]
marston-the-malcontent,"['Genoa', 'Paris', 'Florence', 'Genoas', 'Europe']"
marston-the-wonder-of-women,"['Italy', 'Rome']"
marston-what-you-will,"['Venice', 'London', 'Saint Marke']"
mason-the-turk,"['Venice', 'Thessaly', 'Florence', 'States', 'Corinth', 'Europe', 'Italy', 'Rome', 'Troy', 'Ferrara', 'Cyprus', 'Porcupines', 'Orient', 'Tempe']"
massinger-a-new-way-to-pay-old-debts,['London']
massinger-the-bashful-lover,"['Paris', 'Mantua', 'Milain']"
massinger-the-bondman,"['Baudes', 'Iland', 'Thebes', 'Corinth', 'Greece', 'Sicily']"
massinger-the-city-madam,"['Virginia', 'States', 'London', 'Europe', 'Paris', 'Alps', 'Westminster', 'Dover', 'Silver', 'South', 'Wales', 'Persia', 'England', 'Orient', 'Toledo']"
massinger-the-duke-of-milan,[]
massinger-the-emperor-of-the-east,"['Rome', 'Athens']"
massinger-the-great-duke-of-florence,"['Florence', 'Naples', 'Italy', 'England']"
massinger-the-guardian,"['France', 'Naples', 'Italy', 'Rome', 'Kingdom', 'Spain', 'Jerusalem', 'Messalina']"
massinger-the-maid-of-honour,"['Germany', 'France', 'Island', 'Naples', 'Rome', 'Sicily', 'England', 'Palermo', 'Toledo', 'Malta']"
massinger-the-picture,"['Paris', 'France', 'Hungary', 'England']"
massinger-the-renegado,"['Venice', 'France', 'City', 'London', 'Rome', 'England', 'Amsterdam', 'Europa', 'Tempe', 'Rhodes', 'Spaine', 'Malta']"
massinger-the-roman-actor,"['Paris', 'Rome', 'Thrace', 'Troy']"
massinger-the-unnatural-combat,"['Venice', 'Rome', 'France', 'States']"
may-antigone-the-theban-princess,"['Athens', 'Thebes']"
may-cleopatra-queen-of-egypt,"['Germany', 'France', 'Aegypt', 'Italy', 'Rome', 'Athens', 'Thrace', 'Troy', 'Egypt', 'Arabia', 'Samos', 'Spain', 'Nile']"
may-julia-agrippina-empress-of-rome,"['Iland', 'Italy', 'Rome', 'Greece', 'Asia']"
may-the-heir,[]
mayne-the-city-match,[]
middleton-a-chaste-maid-in-cheapside,"['London', 'Cambridge', 'Westminster', 'Wales', 'Amsterdam']"
middleton-a-game-at-chess,"['Germany', 'Venice', 'Antwerp', 'France', 'Europe', 'Morocco', 'Egypt', 'England']"
middleton-a-mad-world-my-masters,"['Venice', 'Ireland', 'London', 'Putney']"
middleton-a-trick-to-catch-the-old-one,[]
middleton-a-yorkshire-tragedy,['London']
middleton-anything-for-a-quiet-life,"['Venice', 'France', 'London', 'Europe', 'Cambridge', 'Italy', 'Scotland', 'Holland', 'Paris', 'Ireland', 'Island', 'England', 'Spain', 'Amsterdam']"
middleton-fletcher-the-nice-valor,[]
middleton-michaelmas-term,"['London', 'Cambridge']"
middleton-more-dissemblers-besides-women,"['Mantua', 'Europe', 'Rome', 'Milan', 'Kingdom']"
middleton-rowley-heywood-the-old-law,"['Europe', 'Greece', 'Orient', 'Troy', 'Palermo']"
middleton-rowley-the-changeling,"['Greece', 'Spain', 'Malta']"
middleton-rowley-the-world-tossed-at-tennis,"['Richmond', 'Greece', 'Amsterdam', 'Troy']"
middleton-rowley-wit-at-several-weapons,"['France', 'London', 'Cambridge', 'Wales', 'England']"
middleton-the-family-of-love,"['Troy', 'Brussels']"
middleton-the-inner-temple-masque,[]
middleton-the-mayor-of-quinborough,"['Germany', 'Salisbury', 'Wales', 'Kingdom', 'Amsterdam']"
middleton-the-phoenix,"['Ireland', 'London', 'Rome']"
middleton-the-puritan,"['London', 'Marshalsea', 'South', 'England']"
middleton-the-revenger-s-tragedy,['Italy']
middleton-the-widow,['Egypt']
middleton-william-rowley-a-fair-quarrel,[]
middleton-women-beware-women,"['Venice', 'Florence', 'Italy', 'Rome', 'Naples', 'Kingdom']"
middleton-your-five-gallants,"['London', 'Europe']"
milton-comus,"['Aegypt', 'Greece']"
munday-chettle-the-death-of-robert-earl-of-huntingdon,"['Richmond', 'Iland', 'Doncaster', 'France', 'Ierusalem', 'London', 'Palestine', 'Wales', 'Rome', 'England', 'Austria', 'Alpes']"
munday-drayton-wilson-hathaway-sir-john-oldcastle-1,"['Lancaster', 'France', 'Ireland', 'Acton', 'London', 'Europe', 'Cambridge', 'Wales', 'Rome', 'England', 'Fraunce', 'Lancashire', 'Salisbury']"
nabbes-covent-garden,"['London', 'Cornwall', 'Troy', 'Spaine', 'South', 'Tempe']"
nabbes-hannibal-and-scipio,"['Sicilia', 'Italy', 'Rome', 'Arabia', 'Asia', 'Spaine', 'Alpes', 'Othris']"
nabbes-the-bride,"['Athens', 'Europe', 'Finsbury']"
nabbes-the-spring-s-glory,[]
nabbes-the-unfortunate-mother,[]
nabbes-tottenham-court,[]
nashe-summer-s-last-will-and-testament,"['Richmond', 'Ireland', 'Egypt', 'London', 'Arabia', 'Athens', 'England', 'Austria', 'Orient', 'Malta']"
norton-sackville-gorboduc,[]
peele-clyomon-and-clamydes,['Iland']
peele-edward-the-first,"['Lancaster', 'France', 'London', 'Europe', 'Douer', 'Rome', 'Albania', 'Troy', 'Spaine', 'Scotland', 'Ierusalem', 'South', 'Palestine', 'Wales', 'England']"
peele-the-arraignment-of-paris,[]
peele-the-battle-of-alcazar,"['Iland', 'Ireland', 'South', 'Lisborne', 'Affrica', 'Barbary', 'Italy', 'Arabia', 'Rome', 'Spain', 'Spaine']"
peele-the-love-of-david-and-fair-bathsheba,[]
peele-the-old-wives-tale,"['Thessaly', 'France', 'England', 'Spaine', 'Thessalie']"
pikering-horestes,"['Paris', 'Cytheron', 'Athens', 'Troy']"
porter-the-two-angry-women-of-abingdon,"['France', 'Ierusalem', 'London', 'Europe', 'Rome', 'England']"
randolph-aristippus-or-the-jovial-philosopher,"['Venice', 'Cambridge', 'Rome', 'Athens', 'Greece', 'Troy', 'Alpes', 'Holland', 'Persia', 'England']"
randolph-the-jealous-lovers,"['Thebes', 'Tartarie', 'Corinth', 'Athens', 'Ireland']"
rawlins-the-rebellion,"['France', 'Rome']"
richards-messalina-the-roman-empress,"['Rome', 'Troy', 'Alpes', 'South', 'Orient']"
rowley-a-match-at-midnight,"['Delph', 'Black-Fryers', 'London', 'Greece', 'Prague', 'Ireland', 'Wales', 'England']"
rowley-a-new-wonder-a-woman-never-vexed,"['Dover', 'London']"
rowley-a-shoemaker-a-gentleman,"['Germany', 'France', 'Italy', 'Rome', 'Asia', 'Births', 'Dover', 'South', 'Rhine', 'Wales', 'England']"
rowley-all-s-lost-by-lust,"['Kingdom', 'Sivill', 'Spaine']"
rowley-the-birth-of-merlin,"['Germany', 'France', 'London', 'Ireland', 'Wales', 'Kingdom']"
rowley-when-you-see-me-you-know-me,"['Germany', 'France', 'London', 'Europe', 'Italy', 'Douer', 'Rome', 'Austria', 'Alpes', 'Arragon', 'Paris', 'Ireland', 'Naples', 'Wales', 'England', 'Normandy']"
rutter-the-shepherds-holiday,"['Persia', 'Arcadia', 'Paris', 'States']"
s-locrine,"['Thessaly', 'America', 'Cornwall', 'Italy', 'Athens', 'Asia', 'Albania', 'Troy', 'Alpes', 'South']"
s-the-honest-lawyer,"['Virginia', 'London', 'England', 'Nice']"
s-thomas-lord-cromwell,"['Venice', 'Holland', 'France', 'States', 'London', 'Rome', 'Neopolitan', 'England', 'Bononia', 'Spaine']"
sampson-the-vow-breaker,"['France', 'Italy', 'Rome', 'Austria', 'Scotland', 'Paris', 'England']"
sharpham-cupid-s-whirligig,"['Gelderland', 'Europe', 'Friesland', 'Holland', 'Ireland', 'England']"
sharpham-the-fleer,[]
shirley-changes,[]
shirley-hyde-park,"['Island', 'London', 'England', 'Alpes']"
shirley-love-s-cruelty,"['Iland', 'France', 'Athens', 'Ferrara', 'Troy']"
shirley-saint-patrick-for-ireland-1,"['Scotland', 'Iland', 'Island']"
shirley-the-arcadia,"['Mantinea', 'Thessaly', 'Arcadia', 'Greece']"
shirley-the-ball,"['Germany', 'Venice', 'Holland', 'Padua', 'Paris', 'Mantua', 'France', 'Ierusalem', 'Dover', 'London', 'Europe', 'Naples', 'Middleborough', 'Italy', 'Rome', 'England', 'Spaine', 'Alpes']"
shirley-the-bird-in-a-cage,[]
shirley-the-brothers,['Spain']
shirley-the-cardinal,"['Iland', 'Italy', 'Kingdom', 'Arragon']"
shirley-the-constant-maid,"['Paris', 'States', 'London']"
shirley-the-contention-for-honor-and-riches,"['America', 'Westminster', 'City', 'London']"
shirley-the-court-secret,"['Madrid', 'Kingdom', 'Spain', 'Columbus']"
shirley-the-doubtful-heir,"['Iland', 'Arragon', 'Kingdom']"
shirley-the-duke-s-mistress,"['Iland', 'Italy', 'Arabia']"
shirley-the-example,[]
shirley-the-gamester,"['Ierusalem', 'America', 'Athens', 'Greece', 'England', 'Asia', 'Mediterranean', 'Jerusalem']"
shirley-the-gentleman-of-venice,"['Venice', 'Amsterdam']"
shirley-the-humorous-courtier,"['Padua', 'Mantua', 'France', 'Barbary', 'Italy', 'Capricornus']"
shirley-the-impostor,"['Thebes', 'Italy', 'Rome', 'Troy', 'Alpes', 'Ferrara', 'Scotland', 'Holland', 'Alps']"
shirley-the-lady-of-pleasure,"['France', 'Ethiopia', 'Silver', 'London', 'Cape', 'Tempe']"
shirley-the-maid-s-revenge,"['Alpes', 'Arabia', 'Indies', 'Toledo']"
shirley-the-martyred-soldier,[]
shirley-the-opportunity,"['Borgia', 'Europe', 'Naples', 'Spaine', 'Ferrara']"
shirley-the-politician,"['City', 'Kingdom']"
shirley-the-royal-master,"['Naples', 'Italy', 'Rome', 'Tempe']"
shirley-the-school-of-compliment,"['Europe', 'America', 'Greece', 'Holland', 'Paris', 'Elisium', 'Cyprus', 'Wales', 'Nile']"
shirley-the-sisters,"['Paris', 'France', 'States', 'Kingdom', 'Sicily', 'England', 'Mount', 'Orient']"
shirley-the-traitor,"['Florence', 'Rome', 'Nile', 'Alpes']"
shirley-the-triumph-of-peace,[]
shirley-the-wedding,"['London', 'Finsbury', 'England']"
shirley-the-witty-fair-one,"['Venice', 'Iland', 'France', 'London', 'Finsbury', 'Cambridge', 'Rome', 'England']"
shirley-the-young-admiral,"['Naples', 'Rome', 'Sicily', 'Alberto']"
smith-smith-the-hector-of-germany,"['Germany', 'France', 'Troy', 'Iberia', 'England']"
stephens-cynthia-s-revenge,"['Thessaly', 'Europe', 'Sparta', 'Rome', 'Greece', 'Troy', 'Alpes', 'Euphrates', 'Scythia']"
stevenson-gammer-gurton-s-needle,[]
suckling-brennoralt,"['Po', 'Poland', 'Troy']"
tailor-the-hog-hath-lost-his-pearl,"['Virginia', 'States', 'Troy']"
tomkis-albumazar,"['Germany', 'London', 'Barbary', 'Cambridge', 'Sparta', 'Rome', 'Asia', 'Holland', 'Padua', 'South', 'Arabia']"
tomkis-lingua,"['Europe', 'Athens', 'Greece', 'Island', 'Hungary', 'England', 'France', 'States', 'Thebes', 'London', 'Troy', 'Paris', 'Arabia']"
tourneur-the-atheist-s-tragedy,"['Paris', 'France']"
townshend-albion-s-triumph,[]
townshend-tempe-restored,[]
udall-jacob-and-esau,[]
udall-ralph-roister-doister,"['Naples', 'Rome', 'Troy']"
w-the-valiant-scot,"['Scotland', 'France', 'Palestine', 'England']"
wapull-the-tide-tarrieth-no-man,[]
webster-rowley-the-thracian-wonder,"['Europe', 'Rome', 'Jordan', 'Delphos', 'Thrace', 'Affrica', 'Kingdom']"
webster-the-devil-s-law-case,"['Venice', 'France', 'Europe', 'Rome', 'Italy', 'Austria', 'Spaine', 'Alpes', 'Padua', 'Naples', 'England', 'Indies', 'Malta', 'Castile']"
webster-the-duchess-of-malfi,"['Germany', 'France', 'Europe', 'Rome', 'Arragon', 'Padua', 'Paris', 'Naples', 'Porcupines']"
webster-the-white-devil,"['Venice', 'Thessaly', 'France', 'States', 'Rome', 'Poland', 'Arragon', 'Padua', 'Ireland', 'Hungary', 'England', 'Toledo', 'Malta']"
wilkins-the-miseries-of-enforced-marriage,"['London', 'Europe', 'Lancashire', 'Egypt']"
wilmot-hatton-noel-al-stafford-tancred-and-gismund,"['Rome', 'Paris', 'Greece', 'Asia', 'South', 'Troy']"
wilson-the-cobbler-s-prophecy,[]
wilson-the-three-ladies-of-london,"['London', 'Europe', 'Barbary', 'Cambridge', 'Italy', 'Douer', 'Rome', 'England', 'Bristow']"
wilson-the-three-lords-and-three-ladies-of-london,"['Scotland', 'Holland', 'London', 'Rome', 'England', 'Spain', 'Fraunce', 'Spaine']"
woodes-the-conflict-of-conscience,"['London', 'Rome']"
yarington-two-lamentable-tragedies,"['Padua', 'Paris', 'Ierusalem', 'London']"
zouche-the-sophister,"['Antwerp', 'Flushing', 'Italy', 'Rome', 'Islands', 'Scotland', 'Padua', 'Alps', 'Verona', 'Sicily', 'Amsterdam']"
